SN: 20240008
Software version: 3.0

157999,1721384693,2024/7/19 10:24:53,75.27,26.01,250.69,1888.50,3828.12,0,0,0,79,1,2024-07-19T10:24:53Z
159998,1721384695,2024/7/19 10:24:55,75.18,26.03,251.06,1889.06,3837.89,0,0,0,80,1,2024-07-19T10:24:55Z
161999,1721384697,2024/7/19 10:24:57,74.97,26.06,251.81,1889.81,3828.12,0,0,0,81,1,2024-07-19T10:24:57Z
163999,1721384699,2024/7/19 10:24:59,74.85,26.09,252.56,1890.56,3818.36,0,0,0,82,1,2024-07-19T10:24:59Z
165999,1721384701,2024/7/19 10:25:1,74.75,26.09,253.31,1891.13,3823.24,0,0,0,83,1,2024-07-19T10:25:01Z
167999,1721384703,2024/7/19 10:25:3,74.62,26.13,254.06,1891.50,3818.36,0,0,0,84,1,2024-07-19T10:25:03Z
169999,1721384705,2024/7/19 10:25:5,74.57,26.11,254.63,1892.25,3828.12,0,0,0,85,1,2024-07-19T10:25:05Z
172000,1721384707,2024/7/19 10:25:7,74.51,26.16,255.38,1893.00,3828.12,0,0,0,86,1,2024-07-19T10:25:07Z
173999,1721384709,2024/7/19 10:25:9,74.43,26.20,256.13,1893.38,3818.36,0,0,0,87,1,2024-07-19T10:25:09Z
175998,1721384711,2024/7/19 10:25:11,74.41,26.22,256.69,1894.13,3818.36,0,0,0,88,1,2024-07-19T10:25:11Z
177998,1721384713,2024/7/19 10:25:13,74.28,26.24,257.25,1894.88,3823.24,0,0,0,89,1,2024-07-19T10:25:13Z
179999,1721384715,2024/7/19 10:25:15,74.16,26.28,257.81,1895.44,3828.12,0,0,0,90,1,2024-07-19T10:25:15Z
181999,1721384717,2024/7/19 10:25:17,74.07,26.32,258.38,1895.81,3828.12,0,0,0,91,1,2024-07-19T10:25:17Z
183998,1721384719,2024/7/19 10:25:19,73.91,26.33,258.75,1896.56,3833.01,0,0,0,92,1,2024-07-19T10:25:19Z
185999,1721384721,2024/7/19 10:25:21,73.84,26.32,259.13,1897.13,3828.12,0,0,0,93,1,2024-07-19T10:25:21Z
187999,1721384723,2024/7/19 10:25:23,73.76,26.37,259.69,1897.69,3828.12,0,0,0,94,1,2024-07-19T10:25:23Z
